relative_path,mean_mad
mad/20181121_depthmap_0330_0466_no_mad_M4_FinalMeasurability.tif,0.732835
mad/20181121_depthmap_0726_0347_no_mad_M4_FinalMeasurability.tif,0.869993
mad/20181121_depthmap_0882_0301_no_mad_M4_FinalMeasurability.tif,0.878611
mad/20181121_depthmap_1099_0236_no_mad_M4_FinalMeasurability.tif,0.955504
mad/20181121_depthmap_0994_0267_no_mad_M4_FinalMeasurability.tif,0.676251
mad/20181121_depthmap_1352_0162_no_mad_M4_FinalMeasurability.tif,0.946246
mad/20181121_depthmap_1126_0228_no_mad_M4_FinalMeasurability.tif,0.951173
mad/20181121_depthmap_1659_0073_no_mad_M4_FinalMeasurability.tif,0.923525
mad/20181121_depthmap_1207_0205_no_mad_M4_FinalMeasurability.tif,0.928216
mad/20181121_depthmap_1535_0110_no_mad_M4_FinalMeasurability.tif,0.861042
mad/20181121_depthmap_0128_0526_no_mad_M4_FinalMeasurability.tif,0.938224
mad/20181121_depthmap_1132_0226_no_mad_M4_FinalMeasurability.tif,0.933004
mad/20181121_depthmap_0222_0498_no_mad_M4_FinalMeasurability.tif,0.670614
mad/20181121_depthmap_1865_0009_no_mad_M4_FinalMeasurability.tif,0.923903
mad/20181121_depthmap_1346_0164_no_mad_M4_FinalMeasurability.tif,0.856369
mad/20181121_depthmap_0734_0345_no_mad_M4_FinalMeasurability.tif,0.913167
mad/20181121_depthmap_0246_0491_no_mad_M4_FinalMeasurability.tif,0.927293
mad/20181121_depthmap_0039_0553_no_mad_M4_FinalMeasurability.tif,0
mad/20181121_depthmap_1217_0201_no_mad_M4_FinalMeasurability.tif,0.93135
mad/20181121_depthmap_0939_0283_no_mad_M4_FinalMeasurability.tif,0.0027769
mad/20181121_depthmap_0046_0551_no_mad_M4_FinalMeasurability.tif,0.0187682
mad/20181121_depthmap_1445_0135_no_mad_M4_FinalMeasurability.tif,0.938111
mad/20181121_depthmap_0623_0378_no_mad_M4_FinalMeasurability.tif,0.932202
mad/20181121_depthmap_0367_0454_no_mad_M4_FinalMeasurability.tif,0.952762
mad/20181121_depthmap_1866_0007_no_mad_M4_FinalMeasurability.tif,0.715351
mad/20181121_depthmap_1874_0002_no_mad_M4_FinalMeasurability.tif,0.906751
mad/20181121_depthmap_1430_0140_no_mad_M4_FinalMeasurability.tif,0.907163
mad/20181121_depthmap_0015_0560_no_mad_M4_FinalMeasurability.tif,0.0782389
mad/20181121_depthmap_1269_0186_no_mad_M4_FinalMeasurability.tif,0.928809
mad/20181121_depthmap_0913_0292_no_mad_M4_FinalMeasurability.tif,0.310916
mad/20181121_depthmap_1666_0071_no_mad_M4_FinalMeasurability.tif,0.935736
mad/20181121_depthmap_0754_0339_no_mad_M4_FinalMeasurability.tif,0.907899
mad/20181121_depthmap_1610_0087_no_mad_M4_FinalMeasurability.tif,0.958905
mad/20181121_depthmap_0125_0526_no_mad_M4_FinalMeasurability.tif,0.954039
mad/20181121_depthmap_1620_0084_no_mad_M4_FinalMeasurability.tif,0.951683
mad/20181121_depthmap_0528_0407_no_mad_M4_FinalMeasurability.tif,0.923007
mad/20181121_depthmap_1166_0216_no_mad_M4_FinalMeasurability.tif,0.894439
mad/20181121_depthmap_0228_0496_no_mad_M4_FinalMeasurability.tif,0.451601
mad/20181121_depthmap_1561_0102_no_mad_M4_FinalMeasurability.tif,0.936855
mad/20181121_depthmap_0962_0277_no_mad_M4_FinalMeasurability.tif,0.35177
mad/20181121_depthmap_0457_0427_no_mad_M4_FinalMeasurability.tif,0.594416
mad/20181121_depthmap_1438_0137_no_mad_M4_FinalMeasurability.tif,0.927377
mad/20181121_depthmap_1541_0108_no_mad_M4_FinalMeasurability.tif,0.919142
mad/20181121_depthmap_1169_0215_no_mad_M4_FinalMeasurability.tif,0.895302
mad/20181121_depthmap_0843_0312_no_mad_M4_FinalMeasurability.tif,0.219102
mad/20181121_depthmap_1329_0169_no_mad_M4_FinalMeasurability.tif,0.934956
mad/20181121_depthmap_1254_0191_no_mad_M4_FinalMeasurability.tif,0.826723
mad/20181121_depthmap_1795_0034_no_mad_M4_FinalMeasurability.tif,0.919034
mad/20181121_depthmap_0774_0333_no_mad_M4_FinalMeasurability.tif,0.862167
mad/20181121_depthmap_1095_0238_no_mad_M4_FinalMeasurability.tif,0.925641
mad/20181121_depthmap_1225_0199_no_mad_M4_FinalMeasurability.tif,0.957938
mad/20181121_depthmap_1092_0239_no_mad_M4_FinalMeasurability.tif,0.845017
mad/20181121_depthmap_0658_0367_no_mad_M4_FinalMeasurability.tif,0.928147
mad/20181121_depthmap_0552_0399_no_mad_M4_FinalMeasurability.tif,0.68685
mad/20181121_depthmap_0751_0339_no_mad_M4_FinalMeasurability.tif,0.311525
mad/20181121_depthmap_1663_0072_no_mad_M4_FinalMeasurability.tif,0.947822
mad/20181121_depthmap_0720_0349_no_mad_M4_FinalMeasurability.tif,0.882703
mad/20181121_depthmap_1549_0105_no_mad_M4_FinalMeasurability.tif,0.916644
mad/20181121_depthmap_1769_0042_no_mad_M4_FinalMeasurability.tif,0.890386
mad/20181121_depthmap_1810_0029_no_mad_M4_FinalMeasurability.tif,0.926319
mad/20181121_depthmap_0462_0426_no_mad_M4_FinalMeasurability.tif,0.297982
mad/20181121_depthmap_0477_0421_no_mad_M4_FinalMeasurability.tif,0.935147
mad/20181121_depthmap_1856_0017_no_mad_M4_FinalMeasurability.tif,0.542934
mad/20181121_depthmap_0511_0412_no_mad_M4_FinalMeasurability.tif,0.942008
mad/20181121_depthmap_1836_0022_no_mad_M4_FinalMeasurability.tif,0.736286
mad/20181121_depthmap_1563_0101_no_mad_M4_FinalMeasurability.tif,0.931673
mad/20181121_depthmap_1320_0171_no_mad_M4_FinalMeasurability.tif,0.87477
mad/20181121_depthmap_0708_0352_no_mad_M4_FinalMeasurability.tif,0.1392
mad/20181121_depthmap_1132_0227_no_mad_M4_FinalMeasurability.tif,0.946707
mad/20181121_depthmap_1314_0174_no_mad_M4_FinalMeasurability.tif,0.679357
mad/20181121_depthmap_1521_0113_no_mad_M4_FinalMeasurability.tif,0.450404
mad/20181121_depthmap_0529_0406_no_mad_M4_FinalMeasurability.tif,0.906234
mad/20181121_depthmap_0277_0481_no_mad_M4_FinalMeasurability.tif,0.944868
mad/20181121_depthmap_0918_0290_no_mad_M4_FinalMeasurability.tif,0.735024
mad/20181121_depthmap_1714_0058_no_mad_M4_FinalMeasurability.tif,0.74139
mad/20181121_depthmap_0403_0444_no_mad_M4_FinalMeasurability.tif,0.899334
mad/20181121_depthmap_1253_0191_no_mad_M4_FinalMeasurability.tif,0.953123
mad/20181121_depthmap_0905_0293_no_mad_M4_FinalMeasurability.tif,0.00118162
mad/20181121_depthmap_0571_0394_no_mad_M4_FinalMeasurability.tif,0.708705
mad/20181121_depthmap_1566_0100_no_mad_M4_FinalMeasurability.tif,0.923847
mad/20181121_depthmap_1700_0062_no_mad_M4_FinalMeasurability.tif,0.771404
mad/20181121_depthmap_0080_0540_no_mad_M4_FinalMeasurability.tif,0
mad/20181121_depthmap_1385_0152_no_mad_M4_FinalMeasurability.tif,0.892914
mad/20181121_depthmap_1687_0066_no_mad_M4_FinalMeasurability.tif,0.832999
mad/20181121_depthmap_0147_0519_no_mad_M4_FinalMeasurability.tif,0.229074
mad/20181121_depthmap_0894_0298_no_mad_M4_FinalMeasurability.tif,0.000336741
mad/20181121_depthmap_1725_0055_no_mad_M4_FinalMeasurability.tif,0.888222
mad/20181121_depthmap_1228_0198_no_mad_M4_FinalMeasurability.tif,0.947277
mad/20181121_depthmap_0450_0430_no_mad_M4_FinalMeasurability.tif,0.000279695
mad/20181121_depthmap_1802_0032_no_mad_M4_FinalMeasurability.tif,0.917545
mad/20181121_depthmap_1599_0090_no_mad_M4_FinalMeasurability.tif,0.890225
mad/20181121_depthmap_1476_0127_no_mad_M4_FinalMeasurability.tif,0.931139
mad/20181121_depthmap_1035_0256_no_mad_M4_FinalMeasurability.tif,0.886449
mad/20181121_depthmap_1572_0099_no_mad_M4_FinalMeasurability.tif,0.887224
mad/20181121_depthmap_1498_0120_no_mad_M4_FinalMeasurability.tif,0.724207
mad/20181121_depthmap_1691_0064_no_mad_M4_FinalMeasurability.tif,0.895709
mad/20181121_depthmap_0757_0338_no_mad_M4_FinalMeasurability.tif,0.929506
mad/20181121_depthmap_0194_0506_no_mad_M4_FinalMeasurability.tif,0.944306
mad/20181121_depthmap_1479_0126_no_mad_M4_FinalMeasurability.tif,0.91362
mad/20181121_depthmap_0041_0553_no_mad_M4_FinalMeasurability.tif,0
mad/20181121_depthmap_0335_0464_no_mad_M4_FinalMeasurability.tif,0.950894
mad/20181121_depthmap_1554_0103_no_mad_M4_FinalMeasurability.tif,0.9017
mad/20181121_depthmap_0801_0324_no_mad_M4_FinalMeasurability.tif,0.956808
mad/20181121_depthmap_0593_0387_no_mad_M4_FinalMeasurability.tif,0.930442
mad/20181121_depthmap_0355_0458_no_mad_M4_FinalMeasurability.tif,0.956713
mad/20181121_depthmap_0674_0363_no_mad_M4_FinalMeasurability.tif,0.76947
mad/20181121_depthmap_1533_0110_no_mad_M4_FinalMeasurability.tif,0.708312
mad/20181121_depthmap_1794_0035_no_mad_M4_FinalMeasurability.tif,0.938778
mad/20181121_depthmap_1772_0041_no_mad_M4_FinalMeasurability.tif,0.649155
mad/20181121_depthmap_0655_0368_no_mad_M4_FinalMeasurability.tif,0.96395
mad/20181121_depthmap_1190_0210_no_mad_M4_FinalMeasurability.tif,0.915012
mad/20181121_depthmap_0538_0403_no_mad_M4_FinalMeasurability.tif,0.933555
mad/20181121_depthmap_0840_0314_no_mad_M4_FinalMeasurability.tif,0.699867
mad/20181121_depthmap_1761_0044_no_mad_M4_FinalMeasurability.tif,0.885871
mad/20181121_depthmap_0614_0380_no_mad_M4_FinalMeasurability.tif,0.635429
mad/20181121_depthmap_1474_0127_no_mad_M4_FinalMeasurability.tif,0.77951
mad/20181121_depthmap_1314_0173_no_mad_M4_FinalMeasurability.tif,0.923699
mad/20181121_depthmap_0634_0374_no_mad_M4_FinalMeasurability.tif,0.8861
mad/20181121_depthmap_1270_0187_no_mad_M4_FinalMeasurability.tif,0.928
mad/20181121_depthmap_0114_0530_no_mad_M4_FinalMeasurability.tif,0.082624
mad/20181121_depthmap_0200_0504_no_mad_M4_FinalMeasurability.tif,0.955699
mad/20181121_depthmap_0323_0467_no_mad_M4_FinalMeasurability.tif,0.92268
mad/20181121_depthmap_0516_0410_no_mad_M4_FinalMeasurability.tif,0.941769
mad/20181121_depthmap_0100_0533_no_mad_M4_FinalMeasurability.tif,0.022352
mad/20181121_depthmap_1650_0076_no_mad_M4_FinalMeasurability.tif,0.938562
mad/20181121_depthmap_1661_0073_no_mad_M4_FinalMeasurability.tif,0.80873
mad/20181121_depthmap_1112_0233_no_mad_M4_FinalMeasurability.tif,0.947968
mad/20181121_depthmap_0565_0395_no_mad_M4_FinalMeasurability.tif,0.722818
mad/20181121_depthmap_1720_0055_no_mad_M4_FinalMeasurability.tif,0.886727
mad/20181121_depthmap_0312_0470_no_mad_M4_FinalMeasurability.tif,0.919272
mad/20181121_depthmap_1393_0151_no_mad_M4_FinalMeasurability.tif,0.910132
mad/20181121_depthmap_0771_0334_no_mad_M4_FinalMeasurability.tif,0.912647
mad/20181121_depthmap_1275_0185_no_mad_M4_FinalMeasurability.tif,0.936471
mad/20181121_depthmap_0683_0360_no_mad_M4_FinalMeasurability.tif,0.417195
mad/20181121_depthmap_0521_0409_no_mad_M4_FinalMeasurability.tif,0.92048
mad/20181121_depthmap_0120_0528_no_mad_M4_FinalMeasurability.tif,0.763695
mad/20181121_depthmap_0908_0293_no_mad_M4_FinalMeasurability.tif,0.198924
