relative_path,mean_rugosity
rug/20181121_depthmap_0764_0335_no_r002_rug.tif,1.05953
rug/20181121_depthmap_0955_0279_no_r002_rug.tif,1.02608
rug/20181121_depthmap_1298_0179_no_r002_rug.tif,1.0221
rug/20181121_depthmap_0825_0318_no_r002_rug.tif,1.09053
rug/20181121_depthmap_0174_0512_no_r002_rug.tif,1.06149
rug/20181121_depthmap_0881_0301_no_r002_rug.tif,1.02825
rug/20181121_depthmap_0596_0386_no_r002_rug.tif,1.02701
rug/20181121_depthmap_1454_0133_no_r002_rug.tif,1.02378
rug/20181121_depthmap_1228_0198_no_r002_rug.tif,1.01792
rug/20181121_depthmap_0117_0529_no_r002_rug.tif,1.03901
rug/20181121_depthmap_1305_0177_no_r002_rug.tif,1.02444
rug/20181121_depthmap_0335_0464_no_r002_rug.tif,1.01793
rug/20181121_depthmap_0425_0438_no_r002_rug.tif,1.01932
rug/20181121_depthmap_0900_0296_no_r002_rug.tif,1.07559
rug/20181121_depthmap_1639_0079_no_r002_rug.tif,1.02184
rug/20181121_depthmap_0944_0283_no_r002_rug.tif,1.09911
rug/20181121_depthmap_1849_0018_no_r002_rug.tif,1.12056
rug/20181121_depthmap_0700_0355_no_r002_rug.tif,1.02956
rug/20181121_depthmap_0261_0486_no_r002_rug.tif,1.02877
rug/20181121_depthmap_0214_0500_no_r002_rug.tif,1.03212
rug/20181121_depthmap_0057_0547_no_r002_rug.tif,1.03616
rug/20181121_depthmap_1052_0250_no_r002_rug.tif,1.01594
rug/20181121_depthmap_0574_0393_no_r002_rug.tif,1.02641
rug/20181121_depthmap_1724_0055_no_r002_rug.tif,1.03274
rug/20181121_depthmap_1548_0105_no_r002_rug.tif,1.02518
rug/20181121_depthmap_1765_0043_no_r002_rug.tif,1.06714
rug/20181121_depthmap_0832_0315_no_r002_rug.tif,1.24101
rug/20181121_depthmap_0386_0448_no_r002_rug.tif,1.06867
rug/20181121_depthmap_1314_0173_no_r002_rug.tif,1.04051
rug/20181121_depthmap_0804_0323_no_r002_rug.tif,1.04595
rug/20181121_depthmap_0045_0550_no_r002_rug.tif,1.14232
rug/20181121_depthmap_1105_0235_no_r002_rug.tif,1.03038
rug/20181121_depthmap_0464_0426_no_r002_rug.tif,1.03863
rug/20181121_depthmap_1731_0052_no_r002_rug.tif,1.0429
rug/20181121_depthmap_0514_0411_no_r002_rug.tif,1.02873
rug/20181121_depthmap_1187_0211_no_r002_rug.tif,1.02281
rug/20181121_depthmap_1488_0123_no_r002_rug.tif,1.02556
rug/20181121_depthmap_0616_0380_no_r002_rug.tif,1.02629
rug/20181121_depthmap_0875_0302_no_r002_rug.tif,1.05315
rug/20181121_depthmap_0185_0508_no_r002_rug.tif,1.02959
rug/20181121_depthmap_1254_0191_no_r002_rug.tif,1.02094
rug/20181121_depthmap_0731_0345_no_r002_rug.tif,1.04092
rug/20181121_depthmap_1159_0219_no_r002_rug.tif,1.03462
rug/20181121_depthmap_1627_0082_no_r002_rug.tif,1.02875
rug/20181121_depthmap_1138_0225_no_r002_rug.tif,1.01966
rug/20181121_depthmap_1600_0090_no_r002_rug.tif,1.02302
rug/20181121_depthmap_0575_0392_no_r002_rug.tif,1.02702
rug/20181121_depthmap_1153_0221_no_r002_rug.tif,1.02625
rug/20181121_depthmap_0264_0485_no_r002_rug.tif,1.02624
rug/20181121_depthmap_1368_0157_no_r002_rug.tif,1.03763
rug/20181121_depthmap_1376_0155_no_r002_rug.tif,1.02288
rug/20181121_depthmap_1704_0061_no_r002_rug.tif,1.02957
rug/20181121_depthmap_0775_0333_no_r002_rug.tif,1.04431
